#,تیم,P,W,D,L,F,A,GD,PTS
1,Bayern München(M),34,21,8,5,92,38,54,71
2,بورسیا دورتموند,34,22,5,7,83,44,39,71
3,RB Leipzig(P),34,20,6,8,64,41,23,66
4,یونیون برلین,34,18,8,8,51,38,13,62
5,فرایبورگ,34,17,8,9,51,44,7,59
6,بایرلورکوزن,34,14,8,12,57,49,8,50
7,فرانکفورت,34,13,11,10,58,52,6,50
8,وولفسبورگ,34,13,10,11,57,48,9,49
9,ماینتس,34,12,10,12,54,55,-1,46
10,مونشن گلادباخ,34,11,10,13,52,55,-3,43
11,کلن,34,10,12,12,49,54,-5,42
12,هوفنهایم,34,10,6,18,48,57,-9,36
13,Werder Bremen(N),34,10,6,18,51,64,-13,36
14,بوخوم,34,10,5,19,40,72,-32,35
15,آگزبورگ,34,9,7,18,42,63,-21,34
16,اشتوتگارت,34,7,12,15,45,57,-12,33
17,FC Schalke 04(N),34,7,10,17,35,71,-36,31
18,هرتابرلین,34,7,8,19,42,69,-27,29
19,اسپانیول,38,8,13,17,52,69,-17,37
20,الچه,38,5,10,23,30,67,-37,25
