#,تیم,P,W,D,L,F,A,GD,PTS
1,بایرن مونیخ,34,24,6,4,99,44,55,78
2,لایپزیش,34,19,8,7,60,32,28,65
3,بورسیا دورتموند,34,20,4,10,75,46,29,64
4,وولفسبورگ,34,17,10,7,61,37,24,61
5,فرانکفورت,34,16,12,6,69,53,16,60
6,بایرلورکوزن,34,14,10,10,53,39,14,52
7,یونیون برلین,34,12,14,8,50,43,7,50
8,مونشن گلادباخ,34,13,10,11,64,56,8,49
9,اشتوتگارت,34,12,9,13,56,55,1,45
10,فرایبورگ,34,12,9,13,52,52,0,45
11,هوفنهایم,34,11,10,13,52,54,-2,43
12,ماینتس,34,10,9,15,39,56,-17,39
13,آگزبورگ,34,10,6,18,36,54,-18,36
14,هرتابرلین,34,8,11,15,41,52,-11,35
15,آرمنیا بیلفیلد,34,9,8,17,26,52,-26,35
16,کلن,34,8,9,17,34,60,-26,33
17,وردربرمن,34,7,10,17,36,57,-21,31
18,شالکه,34,3,7,24,25,86,-61,16
19,اسپانیول,38,8,13,17,52,69,-17,37
20,الچه,38,5,10,23,30,67,-37,25
