#,تیم,P,W,D,L,F,A,GD,PTS
1,بارسلونا,38,28,4,6,70,20,50,88
2,رئال مادرید,38,24,6,8,75,36,39,78
3,اتلتیکومادرید,38,23,8,7,70,33,37,77
4,رئال سوسیداد,38,21,8,9,51,35,16,71
5,ویارئال,38,19,7,12,59,40,19,64
6,رئال بتیس,38,17,9,12,46,41,5,60
7,اوساسونا,38,15,8,15,37,42,-5,53
8,اتلتیک بیلبائو,38,14,9,15,47,43,4,51
9,مایورکا,38,14,8,16,37,43,-6,50
10,خیرونا,38,13,10,15,58,55,3,49
11,رایو وایکانو,38,13,10,15,45,53,-8,49
12,سویا,38,13,10,15,47,54,-7,49
13,سلتاویگو,38,11,10,17,43,53,-10,43
14,کادیز,38,10,12,16,30,53,-23,42
15,ختافه,38,10,12,16,34,45,-11,42
16,والنسیا,38,11,9,18,42,45,-3,42
17,المریا,38,11,8,19,49,65,-16,41
18,وایادولید,38,11,7,20,33,63,-30,40
19,اسپانیول,38,8,13,17,52,69,-17,37
20,الچه,38,5,10,23,30,67,-37,25
